"docname"	"pre"	"keyword"	"post"	"pattern"	"id"	"hit"
"28640"	"uhm"	"and everything"	"then in terms of structure"	"and everything"	408	1
"2865"	"with black trim on it"	"and all"	""	"and all"	133	1
"2868"	"like in between the acting"	"and all"	"you couldnt hear the girls"	"and all"	134	1
"2876"	"and what and the band"	"and all"	"was brilliant you know the"	"and all"	135	1
"28805"	"came out with a stick"	"and stuff"	""	"and stuff"	607	1
"28899"	"them dead at one stage"	"or something"	""	"or something"	961	1
"28928"	"give him 3 an heir"	"or whatever"	""	"or whatever"	753	1
"2895"	"so it was a disco"	"and all"	""	"and all"	136	1
"2904"	"seeing 2 2 his byline"	"and all"	"in it 2 this week"	"and all"	137	1
"2925"	"all out with their guns"	"and all"	"and one of them was"	"and all"	138	1
"2926"	"whether it was the cars"	"or whatever"	"you know"	"or whatever"	713	1
"2930"	"of the road up there"	"or something"	"4 4"	"or something"	828	1
"29317"	"down through their sexual exploits"	"or whatever"	"it s all negative"	"or whatever"	754	1
"29322"	"or or you know mystique"	"or something"	""	"or something"	962	1
"29401"	"the at the stair foot"	"and stuff like that"	"there definitely used them before"	"and stuff like that"	502	1
"29427"	"would use ourselves and yourselves"	"and stuff like that"	"there"	"and stuff like that"	503	1
"29455"	"use that like rathlin island"	"and stuff like that"	"but i would never use"	"and stuff like that"	504	1
"29456"	"was kitkats in the fridge"	"or something"	"and there was a packet"	"or something"	963	1
"29500"	"something to do with smell"	"or something"	""	"or something"	964	1
"2956"	"1 they ve a band"	"and all"	""	"and all"	139	1
"29610"	"and willoughby and so on"	"and so forth"	""	"and so forth"	629	1
"29641"	"on to suffer posttraumatic stress"	"or something"	"was it"	"or something"	965	1
"29685"	"used direct obser direct observation"	"or something"	""	"or something"	966	1
"297"	"but they ve interviews"	"and everything"	""	"and everything"	340	1
"2973"	"know say about two oclock"	"or whatever"	"time everybody comes out or"	"or whatever"	714	1
"29857"	"the four or the two"	"or whatever"	"it is you know"	"or whatever"	755	1
"29869"	"whether it be their work"	"or whatever"	"it is nines are you"	"or whatever"	756	1
"29930"	"boys schools or coed schools"	"or whatever"	"are actually you know the"	"or whatever"	757	1
"30034"	"building activities and so on"	"and so forth"	""	"and so forth"	630	1
"30104"	"of logic and so on"	"and so forth"	""	"and so forth"	631	1
"30152"	"for fourteen weeks plus holidays"	"or whatever"	"else therefore i need somebody"	"or whatever"	758	1
"3018"	"but i mean their costumes"	"and all"	"were nice and i"	"and all"	140	1
"30200"	"rep becomes the shop steward"	"or whatever"	"or the whatever in future"	"or whatever"	759	1
"30209"	"employer by tds politicians governments"	"and so on"	"who say let s go"	"and so on"	26	1
"30211"	"nine hundred and ninety nine"	"or something"	""	"or something"	967	1
"30212"	"seventy five thousand who knows"	"and so on"	""	"and so on"	27	1
"30216"	"services unemploy services unemployment unionisation"	"and so on"	"female an increase by female"	"and so on"	28	1
"30234"	"pensionable employment"	"and so on"	""	"and so on"	29	1
"30237"	"give to organisations voluntary societies"	"and so on"	"and so on"	"and so on"	30	1
"3024"	"with the 1 1 window"	"and all"	"1"	"and all"	141	1
"30248"	"like basketball shoes fast food"	"and so on"	""	"and so on"	32	1
"30250"	"behind or three years behind"	"or whatever"	"and we just latch on"	"or whatever"	760	1
"30266"	"the computer models that exist"	"and so on"	"which you ve become ac"	"and so on"	33	1
"30277"	"the wall going up straight"	"or something"	"or for the materials arriving"	"or something"	968	1
"30529"	"of its of its grants"	"and so on"	"and its tax incentives and"	"and so on"	34	1
"30543"	"millions of jobs that went"	"or whatever"	"in the fifties when we"	"or whatever"	762	1
"30572"	"terms of say given factors"	"and stuff"	"you know"	"and stuff"	611	1
"30601"	"idea of the european union"	"and all"	"these countries are together and"	"and all"	269	1
"30657"	"there s there s beowulf"	"and everything"	"else"	"and everything"	409	1
"30686"	"the like say the wanderer"	"or something like that"	"we d be asked"	"or something like that"	486	1
"30727"	"for digressions and uh style"	"and things like that"	""	"and things like that"	7	1
"3086"	"set in its own grounds"	"and everything"	""	"and everything"	347	1
"30878"	"the fair lady of ascot"	"or something"	""	"or something"	970	1
"3092"	"of said like wall size"	"or something like that"	""	"or something like that"	466	1
"31000"	"are we doing that tomorrow"	"or something"	""	"or something"	971	1
"31028"	"are we doing this tomorrow"	"or something"	""	"or something"	972	1
"31085"	"like use the other elegies"	"and stuff"	"to"	"and stuff"	612	1
"3115"	"at about seven hundred pounds"	"or whatever"	"but they were very very"	"or whatever"	715	1
"31227"	"your session plans uh written"	"or whatever"	""	"or whatever"	763	1
"3126"	"s japanese or chinese silk"	"or something"	"that the actual material is"	"or something"	830	1
"31278"	"2 anymore 2 2"	"and stuff"	"right"	"and stuff"	613	1
"3129"	"1"	"and all"	"1 1"	"and all"	142	1
"31311"	"respect you and like you"	"and all that"	"but i think we still"	"and all that"	695	1
"31328"	"with it in another way"	"or whatever"	""	"or whatever"	764	1
"3138"	"uhm thin material like gauze"	"or something"	"2 2 2"	"or something"	831	1
"31424"	"1 a literature search 1"	"or whatever"	"and something came up about"	"or whatever"	765	1
"31465"	"everyone gets their their turn"	"or whatever"	""	"or whatever"	766	1
"31505"	"do you have at eleven"	"or whatever"	""	"or whatever"	767	1
"31543"	"english vocabulary and geography vocabulary"	"or whatever"	""	"or whatever"	768	1
"31632"	"think felice had the programme"	"or something"	""	"or something"	973	1
"31633"	"it for a trial period"	"or whatever"	"but then it r goes"	"or whatever"	769	1
"31644"	"1 1 thirty 1 days"	"or whatever"	""	"or whatever"	770	1
"31679"	"you ll walk out or"	"or something like that"	""	"or something like that"	487	1
"31686"	"the living happily ever after"	"or whatever"	"with that"	"or whatever"	771	1
"31704"	"of the street sort of"	"or whatever"	""	"or whatever"	772	1
"31721"	"know science fiction or fantasy"	"or something"	"which has the same kind"	"or something"	976	1
"31762"	"know the different writers ekcet"	"etcetera"	""	"etcetera"	431	1
"31765"	"because like essays"	"and all"	"as well you have to"	"and all"	271	1
"31794"	"you know of each novel"	"and things like that"	"so"	"and things like that"	8	1
"31853"	"try and make them better"	"and stuff like that"	""	"and stuff like that"	505	1
"3191"	"call them stencils about it"	"or something"	""	"or something"	832	1
"3194"	"and in had the tv"	"and all"	""	"and all"	143	1
"31960"	"some may be very conservative"	"etcetera"	"etcetera"	"etcetera"	432	1
"32298"	"uh about fortyone percent"	"or so"	"of those being recruited are"	"or so"	515	1
"32354"	"the need for the fec"	"etcetera"	"to to go away"	"etcetera"	434	1
"32363"	"antismoking ash"	"etcetera"	""	"etcetera"	435	1
"3256"	"supposed to be his birthday"	"or something"	""	"or something"	833	1
"32568"	"think in a sense depressing"	"and all"	"as this economic discussion is"	"and all"	272	1
"32609"	"opportunity without being pump primed"	"or whatever"	"the expression is by government"	"or whatever"	773	1
"32674"	"because of their uhm constitution"	"and so on"	""	"and so on"	35	1
"32775"	"the listeners to talk back"	"and all"	"the other people who vote"	"and all"	273	1
"32829"	"are we concluding then that"	"and all"	"the opinion polls recently say"	"and all"	274	1
"32884"	"yes a year"	"or so"	"ago 1 1 that 1"	"or so"	516	1
"33291"	"statement i made three years"	"or so"	"ago uh about certain difficulties"	"or so"	517	1
"33371"	"mr bruton or the rainbow"	"or whatever"	"comes in now is going"	"or whatever"	774	1
"3343"	"to do all his cleaning"	"and all"	"and"	"and all"	144	1
"33486"	"informed sources their joint statement"	"or whatever"	"it s called is is"	"or whatever"	775	1
"33590"	"road or down the lane"	"or whatever"	"is is uh very lonely"	"or whatever"	776	1
"33616"	"or a lamb is born"	"or whatever"	"it it gives you that"	"or whatever"	777	1
"33624"	"you see with milk recording"	"and everything"	"you have yellow sixtynine and"	"and everything"	410	1
"33662"	"wilton shopping centre is now"	"and so forth"	"that was one of our"	"and so forth"	632	1
"33665"	"of fruit in some houses"	"and so forth"	""	"and so forth"	633	1
"33692"	"ties being being reco renewed"	"and so on"	""	"and so on"	36	1
"33722"	"things for lent and selfdenial"	"and so forth"	""	"and so forth"	634	1
"3412"	"just 1 an iron box"	"or something"	"and 2 2 a piece"	"or something"	834	1
"3425"	"scale 2 2 scaffolding like"	"or something"	"uh outside and climb up"	"or something"	836	1
"34275"	"buying expensive toys for kids"	"and so on"	""	"and so on"	37	1
"34276"	"the kids see the advertising"	"and so on"	"and this is a change"	"and so on"	38	1
"34280"	"and radio and the papers"	"and everything"	"is that christmas is creeping"	"and everything"	411	1
"34288"	"national school now media studies"	"and everything"	"is only in its infancy"	"and everything"	412	1
"34325"	"de paul simon share and"	"and so on"	""	"and so on"	39	1
"34336"	"a house fire for example"	"or something like that"	"that there is a great"	"or something like that"	488	1
"34338"	"it s uh helping neighbours"	"and everything"	"uh isnt to the same"	"and everything"	413	1
"34339"	"said of giving to charities"	"and everything"	"but it s also i"	"and everything"	414	1
"34430"	"were churchgoers and church supporters"	"and so on"	"but entering the church had"	"and so on"	40	1
"34450"	"well family commitments and finance"	"and so on"	"or lack of finance i"	"and so on"	41	1
"34572"	"rich uh going for theft"	"and all"	"the other things"	"and all"	275	1
"34587"	"a farm animals being born"	"and so forth"	"and they get a a"	"and so forth"	635	1
"3464"	"try to get a job"	"and stuff"	"out there"	"and stuff"	550	1
"34653"	"uh critical view of it"	"and so on"	"and uh attempt to assess"	"and so on"	42	1
"34655"	"that is uh very cool"	"and so on"	""	"and so on"	43	1
"3473"	"like yeah the job s"	"and all"	"is still there"	"and all"	145	1
"34742"	"as other people s lots"	"and so forth"	""	"and so forth"	637	1
"34754"	"them uh pirating uh videos"	"and things like that"	"to sell for their for"	"and things like that"	9	1
"34757"	"of video and and film"	"and so forth"	"uh and the cashing in"	"and so forth"	639	1
"34761"	"to silence of the lambs"	"and so forth"	""	"and so forth"	640	1
"34770"	"these genes in their bodies"	"and so forth"	"and they ve got to"	"and so forth"	641	1
"34773"	"they cant alter their balance"	"and so forth"	""	"and so forth"	642	1
"34777"	"and uh many other ways"	"and so forth"	""	"and so forth"	643	1
"34782"	"at many middle ages paintings"	"and so forth"	"which focus on human sexuality"	"and so forth"	644	1
"34789"	"uhm the use of men"	"and so forth"	""	"and so forth"	645	1
"34807"	"and you baked your tarts"	"and stuff like this"	"you know and uh that"	"and stuff like this"	495	1
"34867"	"of their son s wages"	"and so on"	""	"and so on"	44	1
"3487"	"of like hang about with"	"and stuff"	"2 2 and all 2"	"and stuff"	551	1
"35044"	"trial at fifteen or sixteen"	"or whatever"	""	"or whatever"	778	1
"35061"	"beat them i think sixnil"	"or something like that"	""	"or something like that"	489	1
"3515"	"in this really good kibbutz"	"and stuff"	"you know"	"and stuff"	552	1
"3516"	"2 2 going 2 trekking"	"and all"	""	"and all"	147	1
"3523"	"who does the food"	"and all"	"go for like you like"	"and all"	148	1
"35262"	"that uh takes a drink"	"and all that"	""	"and all that"	696	1
"35287"	"know meetings with president kennedy"	"and so forth"	""	"and so forth"	646	1
"35293"	"dead before my very eyes"	"or something like that"	"you know"	"or something like that"	490	1
"35343"	"of the film mise eire"	"and all"	"of that and the"	"and all"	277	1
"35368"	"playing it with wellingtons on"	"or something"	"do you know"	"or something"	980	1
"35395"	""	"and all"	"of that kind of feeling"	"and all"	278	1
"3541"	"like learn the jewish language"	"and all this"	"here and about the history"	"and all this"	658	1
"35607"	"they ve gone to america"	"and things like that"	"they would still contact me"	"and things like that"	10	1
"35661"	"and the possibility of ceasefires"	"and so on"	"uh he said that ira"	"and so on"	45	1
"36041"	"and uh"	"and all that"	"the team that they had"	"and all that"	697	1
"36042"	"big fancy cars and vans"	"and so on"	""	"and so on"	46	1
"36048"	"all their fancy fancy posters"	"and so forth"	""	"and so forth"	647	1
"3610"	"they ran into his house"	"or something"	""	"or something"	838	1
"36100"	"their bodies blown up shot"	"and so forth"	"and them people are saying"	"and so forth"	648	1
"3616"	"they had a party"	"and all"	"the victims no not all"	"and all"	151	1
"36282"	"that none of the seventeen"	"or so"	"existing high court judges from"	"or so"	518	1
"36316"	"letter was on a file"	"and all that"	"particular area and as i"	"and all that"	698	1
"3653"	"all dressed up as clowns"	"and stuff"	""	"and stuff"	553	1
"36539"	"of being untruthful heartless unprincipled"	"etcetera"	""	"etcetera"	436	1
"36570"	"uh the post an post"	"etcetera"	"means that we had actually"	"etcetera"	437	1
"36611"	"over four or five years"	"etcetera"	""	"etcetera"	438	1
"36634"	"the problems since eightyseven bad"	"and all"	"as the difficulties we have"	"and all"	281	1
"3699"	"encyclopaedias about bluebottles and things"	"or something"	""	"or something"	839	1
"37017"	"it s a dull day"	"or whatever"	"it is"	"or whatever"	779	1
"37033"	"something which had just happened"	"or something"	"which had been there"	"or something"	981	1
"37081"	"five months"	"or so"	"after mr ridley was out"	"or so"	519	1
"3719"	"to the consumer 2 2"	"or something"	"2"	"or something"	840	1
"37238"	"s vehicle on the road"	"etcetera"	""	"etcetera"	439	1
"3729"	"give a sermon about it"	"or something like that"	""	"or something like that"	467	1
"37510"	"evidence with mr curran and"	"and so on"	""	"and so on"	47	1
"37514"	"i mean with strategic management"	"and all that"	"we have a regular i"	"and all that"	699	1
"37705"	"the case because of workload"	"and so on"	"so how could this official"	"and so on"	48	1
"37825"	"do the the the videos"	"and things like that"	""	"and things like that"	12	1
"3803"	"name and date of birth"	"and all"	"the rest of it"	"and all"	152	1
"38160"	"playing a game of football"	"or something"	"i s uh get sharp"	"or something"	982	1
"38378"	"you know antiquities 1 1"	"and stuff"	"1"	"and stuff"	616	1
"38478"	"upstairs you know 2 volunteers"	"and stuff"	"you know"	"and stuff"	617	1
"38485"	"in i mean the battles"	"and stuff"	"there 2 2 was all"	"and stuff"	618	1
"38496"	"just took a day off"	"or whatever"	"and 3 3 took 3"	"or whatever"	780	1
"38553"	"you do have the loan"	"and everything"	""	"and everything"	415	1
"38599"	"bob uh went there myse"	"and all"	"of us went to the"	"and all"	283	1
"38631"	"a mixture of bungalows semis"	"or whatever"	"that type of thing"	"or whatever"	781	1
"38640"	"compromise like say six semidetached"	"or something"	"of that order"	"or something"	983	1
"38796"	"arts 1 1 council 1"	"and stuff like that"	""	"and stuff like that"	506	1
"38858"	"menial jobs like cleaning houses"	"and stuff"	""	"and stuff"	620	1
"38880"	"s all geared towards business"	"and stuff"	""	"and stuff"	621	1
"38883"	"you know or through sports"	"and stuff"	"like you know"	"and stuff"	622	1
"38921"	"can save onto a disc"	"or something"	""	"or something"	984	1
"38930"	"a little model"	"or something"	""	"or something"	985	1
"38965"	"for people who are waiting"	"or whatever"	""	"or whatever"	782	1
"38995"	"fred has of buzz lightyear"	"and all that"	"1 1 kind of stuff"	"and all that"	700	1
"39029"	"into a monster s house"	"or whatever"	""	"or whatever"	783	1
"39044"	"a bag on the counter"	"or something"	""	"or something"	986	1
"39059"	"know you can have posters"	"or whatever"	"on the glass so that"	"or whatever"	784	1
"39060"	"pens at every work station"	"or whatever"	""	"or whatever"	785	1
"39073"	"you know that fly"	"and stuff"	""	"and stuff"	623	1
"39177"	"was noted before for breakins"	"and stuff"	""	"and stuff"	624	1
"39179"	"couple of years ago now"	"and all"	"the flats up there were"	"and all"	285	1
"3920"	"that all hunkydory and ticketyboo"	"etcetera"	""	"etcetera"	425	1
"39477"	"get sitting up in bed"	"or something like that"	"and there s a nurse"	"or something like that"	491	1
"39596"	"a personal delivery on it"	"or something"	""	"or something"	989	1
"39636"	"every day for a year"	"or whatever"	""	"or whatever"	786	1
"39646"	"and probably has bite reflexes"	"and everything"	"else"	"and everything"	416	1
"39656"	"extra beads for voice stimulation"	"and all this"	"kind of stuff"	"and all this"	672	1
"39665"	"europe uhm places like poland"	"and all"	"sorts of places like that"	"and all"	287	1
"39670"	"gunshot wounds in south africa"	"and things like that"	"uhm computer club for people"	"and things like that"	13	1
"39676"	"doesnt that slow down images"	"and everything"	""	"and everything"	417	1
"39682"	"aphasia and what aphasia means"	"and everything"	"like that"	"and everything"	418	1
"39684"	"know with all the robes"	"and everything"	"and she was like all"	"and everything"	419	1
"39693"	"we mean by using gesture"	"and all that"	"kind of thing so i"	"and all that"	701	1
"39695"	"their books and their equipment"	"and everything"	"and there was one thing"	"and everything"	420	1
"39697"	"you know people with dysarthria"	"and things like that"	"the the people in the"	"and things like that"	14	1
"39860"	"of teaching and teaching abilities"	"and all that"	"kind of stuff"	"and all that"	702	1
"39977"	"ll please his uncle pat"	"and all"	"the other leitrim fontenoy supporters"	"and all"	290	1
"40108"	"delight of the three thousand"	"or so"	"fans the sun has returned"	"or so"	520	1
"40319"	"in around about eight nine"	"or so"	"and he really he showed"	"or so"	521	1
"4076"	"talk about coming from ireland"	"and all that"	"sort of stuff"	"and all that"	675	1
"4091"	"s it s pretty old"	"and all"	"all the wee streets are"	"and all"	154	1
"40974"	"the game with two halves"	"and so on"	"uh and i dont think"	"and so on"	49	1
"41288"	"to go on a run"	"and all"	"brought to an end"	"and all"	291	1
"4149"	"well if you like history"	"and all that"	"sort of stuff and i"	"and all that"	676	1
"41508"	"the uh the albert bridge"	"and all"	"all around the the main"	"and all"	292	1
"41549"	"walk uh about eighty yards"	"or so"	"up to the area up"	"or so"	522	1
"41564"	"at around ten past eleven"	"or so"	"uhm that she can take"	"or so"	523	1
"4181"	"and just burst into song"	"and stuff"	""	"and stuff"	554	1
"42008"	"him for the last year"	"or so"	"but he certainly draws the"	"or so"	524	1
"42009"	"him for the last year"	"or so"	"but he certainly draws the"	"or so"	525	1
"42278"	"on for another half minute"	"or so"	"because he d been beginning"	"or so"	526	1
"42279"	"on for another half minute"	"or so"	"because he d been beginning"	"or so"	527	1
"4241"	"put the lock 2 2"	"and all"	"on 2 for me cos"	"and all"	157	1
"43169"	"panga at two to one"	"and all"	"seven ran"	"and all"	293	1
"43334"	"they received at dublin airport"	"and all"	"the way in from dublin"	"and all"	294	1
"43425"	"up and work the lens"	"and all"	"the rest but with one"	"and all"	295	1
"4345"	"pearls are my secondary stone"	"or something"	""	"or something"	842	1
"43470"	"on of everything s fine"	"and all"	"and at the same time"	"and all"	296	1
"4363"	"getting pissed on the tuesday"	"and all"	"day on the wednesday"	"and all"	159	1
"43721"	"married has three grownup daughters"	"and all"	""	"and all"	297	1
"43735"	"come in and see him"	"or whatever"	""	"or whatever"	787	1
"43752"	"people that i run with"	"or whatever"	"hobby i have"	"or whatever"	788	1
"43756"	"regularly every new year s"	"or so"	"and i would get a"	"or so"	528	1
"43764"	""	"and everything"	"he he would phone me"	"and everything"	421	1
"43799"	""	"and all"	"of you owe them a"	"and all"	298	1
"43817"	"teachers board personnel school governors"	"and all"	"of those who have a"	"and all"	299	1
"43918"	"borrowing grants uhm and loans"	"and things like that"	""	"and things like that"	15	1
"4415"	"you try and snog him"	"and everything"	""	"and everything"	348	1
"44154"	"if he was a millionaire"	"or something"	""	"or something"	990	1
"44187"	""	"and all"	"of you who love formulas"	"and all"	300	1
"44248"	""	"and all"	"in all i think it"	"and all"	301	1
"44363"	"themselves for leadership skills even"	"and all"	"of these uh were pointed"	"and all"	302	1
"44368"	"to be uhm properlyrun interviews"	"and all"	"the rest of it"	"and all"	303	1
"44413"	"cover jobs like packing jobs"	"or whatever"	"else"	"or whatever"	789	1
"44450"	"work department or housing studies"	"etcetera"	"etcetera"	"etcetera"	440	1
"44463"	"mr shaw thatcher s bodies"	"etcetera"	"to look at the needs"	"etcetera"	442	1
"44475"	"the population in that area"	"etcetera"	"etcetera"	"etcetera"	443	1
"44486"	"ve already got the stats"	"and all"	"the recommendations on it for"	"and all"	304	1
"44609"	"you re bringing in computers"	"and stuff"	"into the business you d"	"and stuff"	625	1
"44655"	"uhm with people on holidays"	"and all"	"the rest of it but"	"and all"	305	1
"44670"	"provision past successes and failures"	"and so on"	"and select activities from amongst"	"and so on"	50	1
"44710"	"in the next twenty minutes"	"or so"	""	"or so"	529	1
"44777"	"of a more sophisticated way"	"and so on"	""	"and so on"	51	1
"44807"	"of tasks like spatial tasks"	"and so on"	"they tend to go over"	"and so on"	52	1
"44811"	"the right and left hemisphere"	"and so on"	"it s just useful to"	"and so on"	53	1
"44829"	"the i think the seventies"	"or so"	""	"or so"	530	1
"44866"	"so you could"	"and so on"	""	"and so on"	54	1
"44901"	"need a and b simultaneously"	"and so on"	""	"and so on"	55	1
"44977"	"in the programme as well"	"and so on"	""	"and so on"	56	1
"45043"	"two then this node three"	"or so"	"on what we do is"	"or so"	531	1
"45051"	"colours like red green blue"	"etcetera"	""	"etcetera"	445	1
"45207"	"more and more fossil fuels"	"and so on"	""	"and so on"	57	1
"45233"	"gases and how they work"	"and so on"	""	"and so on"	58	1
"45259"	"you and you and you"	"and so on"	"uh we can simulate maybe"	"and so on"	59	1
"45262"	"and your method of expression"	"and so on"	""	"and so on"	60	1
"45263"	"s come from somewhere else"	"and so on"	""	"and so on"	61	1
"45274"	"you ll hear de danann"	"or something"	"and you ll say well"	"or something"	991	1
"45288"	"exciting contours to the melody"	"and so on"	""	"and so on"	62	1
"45293"	"is one two three four"	"and so on"	""	"and so on"	63	1
"45294"	"set dances maybe waltzes mazurkas"	"and so on"	""	"and so on"	64	1
"45302"	"you have metres and stresses"	"and so on"	""	"and so on"	65	1
"45346"	"contract for services food cleaning"	"etcetera"	""	"etcetera"	446	1
"45351"	"the buy sell uhm matrix"	"and so on"	"you want to get rid"	"and so on"	66	1
"45373"	"or turnover"	"etcetera"	""	"etcetera"	447	1
"45376"	"you give us a hand"	"or whatever"	""	"or whatever"	790	1
"45379"	"insitu your performance is adequate"	"and so on"	"now let s see if"	"and so on"	67	1
"45380"	"you to a different site"	"etcetera"	""	"etcetera"	448	1
"45385"	""	"etcetera"	"catches everything else which i"	"etcetera"	449	1
"45389"	"functionalist instrumentalist planned rational analytic"	"and all"	"those other words approach to"	"and all"	306	1
"45398"	"mire or tie the rope"	"and so on"	"batmantype stuff"	"and so on"	68	1
"45400"	"staff will still be here"	"and so on"	""	"and so on"	69	1
"45402"	"manage our staff we can"	"and so on"	""	"and so on"	70	1
"45419"	"mother gives you the job"	"or whatever"	""	"or whatever"	791	1
"45479"	"like the king james version"	"and so on"	"and perhaps the same in"	"and so on"	71	1
"45522"	"idea of god and gods"	"and so forth"	"and a son of god"	"and so forth"	649	1
"45554"	"database accounts stock control payroll"	"etcetera"	""	"etcetera"	450	1
"45633"	"uh fonts underlining bold print"	"etcetera"	""	"etcetera"	451	1
"45662"	"are using a hard disc"	"and all"	"your programmes are in different"	"and all"	307	1
"45665"	"your letters and your reports"	"etcetera"	""	"etcetera"	452	1
"45684"	"you could call it paragraph"	"or something like that"	"okay"	"or something like that"	492	1
"45707"	"can draw graphs pie charts"	"and stuff like that"	""	"and stuff like that"	507	1
"45781"	"venereal disease and so on"	"and so forth"	""	"and so forth"	650	1
"45826"	"in the last twenty years"	"or so"	"has been uh a lot"	"or so"	532	1
"45829"	"the standard of irish achieved"	"and so on"	"uh and in the nineteen"	"and so on"	73	1
"45838"	"uh what was happening and"	"and so on"	""	"and so on"	75	1
"45847"	"an important thing to learn"	"and so on"	""	"and so on"	76	1
"45854"	"child s success and achievements"	"and so on"	""	"and so on"	77	1
"45856"	"just methods within the class"	"and so on"	"not looking at teaching methods"	"and so on"	78	1
"45860"	"for poverty and social exclusion"	"and so on"	""	"and so on"	79	1
"45891"	"what materials they would need"	"and so on"	""	"and so on"	80	1
"45904"	"primary teachers in short courses"	"etcetera"	"so that uh there is"	"etcetera"	453	1
"45916"	"teaching the basics of linguistics"	"etcetera"	"language teachers"	"etcetera"	454	1
"45941"	"language teachers or history teachers"	"or whatever"	""	"or whatever"	792	1
"45960"	"how many as or bs"	"or whatever"	"you get"	"or whatever"	793	1
"45965"	"departments either french german irish"	"or whatever"	"or with people who have"	"or whatever"	794	1
"45976"	"an allirish school biology physics"	"etcetera"	"great difficulty in that sense"	"etcetera"	455	1
"45977"	"holland or german in france"	"or whatever"	""	"or whatever"	795	1
"45979"	"placed where they get support"	"etcetera"	"is quite important"	"etcetera"	456	1
"45980"	"with uhm materials development adaptation"	"etcetera"	"so that the actual people"	"etcetera"	457	1
"45983"	"the video interactive video internet"	"etcetera"	"which are becoming available and"	"etcetera"	458	1
"45998"	"and cards back into people"	"and all"	"of the rest of it"	"and all"	308	1
"46035"	"third one is x three"	"and so on"	"as we discussed before"	"and so on"	81	1
"46047"	"this one came over here"	"and so on"	""	"and so on"	82	1
"46138"	"terminal with the green characters"	"and all that"	"kind of stuff"	"and all that"	703	1
"46161"	"writing programs and debugging programs"	"and all that"	"kind of stuff"	"and all that"	704	1
"46234"	"inserting text and removing text"	"and all that"	"kind of stuff it takes"	"and all that"	705	1
"46385"	"all the graces the blessings"	"and so on"	"that god has given us"	"and so on"	83	1
"4640"	"you think he s attractive"	"and stuff"	""	"and stuff"	555	1
"46404"	"he was putting up boards"	"or something"	""	"or something"	993	1
"46438"	"talking about jesus saving us"	"and all"	"the rest of it"	"and all"	312	1
"46454"	"that talk of the butlers"	"and all that"	"talk of people like allen"	"and all that"	706	1
"46497"	""	"and all"	"those treasonable allegations that had"	"and all"	314	1
"46782"	"of about the last year"	"or so"	""	"or so"	533	1
"46966"	""	"and all"	"you re going to do"	"and all"	315	1
"47283"	"the fruit or the meat"	"or whatever"	"you you re cooking"	"or whatever"	796	1
"47305"	"s no your presentation yes"	"and things like that"	"but actually it s the"	"and things like that"	16	1
"47361"	"know if you re diabetic"	"and things like that"	""	"and things like that"	17	1
"47389"	"after you know seven minutes"	"or so"	"on one side and the"	"or so"	534	1
"47444"	""	"and all"	"you need is a little"	"and all"	316	1
"47445"	""	"and all"	"you need is a little"	"and all"	317	1
"475"	"been built at crinkly pool"	"or something"	""	"or something"	806	1
"47546"	"a very creamy main course"	"or something"	"spicy like a curry"	"or something"	994	1
"47547"	"a very creamy main course"	"or something"	"spicy like a curry"	"or something"	995	1
"47554"	""	"and all"	"you ve got to do"	"and all"	318	1
"47555"	""	"and all"	"you ve got to do"	"and all"	319	1
"47654"	"and then hold the grapefruit"	"or whatever"	"it is in your the"	"or whatever"	797	1
"47655"	"and then hold the grapefruit"	"or whatever"	"it is in your the"	"or whatever"	798	1
"47711"	"will take about a minute"	"or so"	""	"or so"	535	1
"48045"	""	"and all"	"you do then is get"	"and all"	320	1
"48067"	"use uhm an oven glove"	"or something"	"to hold the can because"	"or something"	996	1
"48076"	"be blue two red green"	"or whatever"	""	"or whatever"	799	1
"48087"	"set for about an hour"	"or so"	"until eventually hopefully uhm it"	"or so"	536	1
"48111"	""	"and all"	"you have to do then"	"and all"	321	1
"48117"	"uh roll off your pen"	"or whatever"	"you have holding up the"	"or whatever"	800	1
"48150"	"that the ice has melted"	"and all"	"these bubbly shapes you se"	"and all"	322	1
"48677"	"they d last a week"	"or so"	"when they come and the"	"or so"	537	1
"48734"	"about month and a half"	"or so"	"before the subject s accident"	"or so"	538	1
"48794"	"like writing uh and dressing"	"and so on"	"but now the only restrictions"	"and so on"	84	1
"48830"	"age of about eight months"	"or so"	"and this particular these particular"	"or so"	539	1
"48898"	"uh rollerskates or a bicycle"	"or whatever"	""	"or whatever"	801	1
"48908"	"activities such as wheeling prams"	"etcetera"	""	"etcetera"	459	1
"4897"	"this from sallyanne about smirnoff"	"and everything"	""	"and everything"	349	1
"49079"	"innovation and research and management"	"and all"	"the rest of it"	"and all"	323	1
"49121"	"and bruton and and quill"	"and all"	"of you there s no"	"and all"	324	1
"49211"	"and with uhm training grants"	"etcetera"	""	"etcetera"	460	1
"49272"	"up to six hundred million"	"and all"	"the financial repercussions that would"	"and all"	325	1
"49329"	"of uh varied community workers"	"and so on"	"around the table and from"	"and so on"	85	1
"49339"	"are crying for civil war"	"and all"	"the rest of it let"	"and all"	326	1
"4960"	"dropped out of the sky"	"or something"	"because he doesnt appear to"	"or something"	843	1
"4968"	"of the door new doormen"	"or something"	""	"or something"	844	1
"4969"	"with you know pwc upstairs"	"and everything"	"you were bound to bump"	"and everything"	350	1
